Nombre del Barrio,Tel,mail,WEB/redes,DIRECCIÓN,Geolocalización,Localidad,Lotes,Estado,Actividades,Servicios,Organiza actividades sociales o eventos comunitarios,Logo
ACACIAS BLANCAS,11 4871 4329/4342, administracion@acaciasblancas.com.ar,www.acaciasblancas.com.ar,"Aconcagua 300, B1620 Maquinista Savio",https://maps.app.goo.gl/HwZhqeABg56cczdZA,Maquinista Savio,257,Totalmente construído,"Fútbol, tenis","Club House, SUM, Plaza de juegos",,si
ALAMO ALTO,,,,"Suipacha 1651, B1620ARG Maquinista Savio",https://maps.app.goo.gl/oUqddYJhRhdJAmmR8,Maquinista Savio,153,Totalmente construído,,,,
ALTOS DE MASCHWITZ CONDOMINIO,1124532555,conti.inmobiliaria@outloock.com,www.altosdemaschwitz.com.ar,"Aconcagua 130, B1620EDF Maquinista Savio",https://maps.app.goo.gl/LHfReJybcEVt7AuZ6,Maquinista Savio,50,Totalmente construído,,Piscina,no,si
ALTOS DE MATHEU,,,,"Ruta 25 B1627DLE, Matheu",https://maps.app.goo.gl/pNKwwGzivKbnoGZH8,Matheu,151,Totalmente construído,,,,
AMARRAS DE ESCOBAR,,,,"Ruta 25, Colectora Oeste Ramal Escobar",https://maps.app.goo.gl/4ghSjUtVFf2iCWrS6,Belen de Escobar,105,En desarrollo,pista de Esquí y Wakeboard,Club House,,si
COUNTRY CLUB ARANJUEZ,3484423591,,,Colectora Oeste KM47,https://maps.app.goo.gl/RcNUR19HZof79TTy7,Belen de Escobar,338,Totalmente construído,"Fútbol, Tenis","Club House, Plaza de juegos, piscina",,si en baja
ARANZAZU CLUB DE CAMPO,03327-456575,info@clubdecampoaranzazu.com.ar,https://www.clubdecampoaranzazu.com.ar/,"Centenario 1100, B1619DSX 24 de Febrero",https://maps.app.goo.gl/eY8Gcy7DWmhnxNcm6,24 de Febrero,330,Totalmente construído,"Fútbol, Tenis, Golf, Hockey, Paddle, Gimnasio","Restaurante, Club House, piscina",,si cortado
BOSQUE CHICO B.C.,,,,"Almte Brown 1675, B1619BDF Garin",https://maps.app.goo.gl/jM3bgaZ36tbpKPdy9,Garin,36,Totalmente construído,,,,
C.U.B.E,3484480646,,@barriocube,Calle 11 y 12 S/N Escobar,https://maps.app.goo.gl/3pnKaR7F34CZZKLb9,Belen de Escobar,432,Totalmente construído,,,,si fondo agua
CAMPO CHICO C.C,03488 469 393,magazine@campochicocountry.com.ar,www.campochicocountry.com.ar,Alborada y Conde Fernandez,https://maps.app.goo.gl/ozxpYUu7D9kWx7r97,Matheu,660,Totalmente construído,"EQUITACION, GOLF, TENIS, FUTBOL, COLONIA PARA NIÑOS Y GUARDIA MEDICA LAS 24 HORAS",,,
CIVIS TORTUGAS CONDOMINIO,5555 4155 | 11 6997 1906,info@civistortugasnorte.com.ar,http://civistortugasnorte.com.ar/,"Hernando de Magallanes 1433, Garín",https://maps.app.goo.gl/btmfQZWWZEoTV6Uk7,Garin,220,Totalmente construído,Gimnasio,"piscina, SUM, ",,si
